	dataflowId	agencyId	version
1	ABORIGINAL_POP_PROJ	ABS	1.0.0
2	ABORIGINAL_POP_PROJ_REMOTE	ABS	1.0.0
3	ABS_ABORIGINAL_POPPROJ_INDREGION	ABS	1.0.0
4	ABS_ACLD_LFSTATUS	ABS	1.0.0
5	ABS_ACLD_TENURE	ABS	1.0.0
6	ABS_ACLD_UNPAIDASST	ABS	1.0.0
7	ABS_ACLD_VOLWORK	ABS	1.0.0
8	ABS_ANNUAL_ERP_ASGS	ABS	1.0.0
9	ABS_ANNUAL_ERP_ASGS2016	ABS	1.2.0
10	ABS_ANNUAL_ERP_ASGS2021	ABS	1.2.0
11	ABS_ANNUAL_ERP_LGA2016	ABS	1.0.0
12	ABS_ANNUAL_ERP_LGA2017	ABS	1.0.0
13	ABS_ANNUAL_ERP_LGA2018	ABS	1.0.0
14	ABS_ANNUAL_ERP_LGA2019	ABS	1.0.0
15	ABS_ANNUAL_ERP_LGA2020	ABS	1.0.0
16	ABS_ANNUAL_ERP_LGA2021	ABS	1.0.0
17	ABS_C16_G43_LGA	ABS	1.0.0
18	ABS_C16_G43_SA	ABS	1.0.0
19	ABS_C16_G44_LGA	ABS	1.0.0
20	ABS_C16_G44_SA	ABS	1.0.0
21	ABS_C16_G45_LGA	ABS	1.0.0
22	ABS_C16_G45_SA	ABS	1.0.0
23	ABS_C16_G46_LGA	ABS	1.0.0
24	ABS_C16_G46_SA	ABS	1.0.0
25	ABS_C16_G47_LGA	ABS	1.0.0
26	ABS_C16_G47_SA	ABS	1.0.0
27	ABS_C16_G48_LGA	ABS	1.0.0
28	ABS_C16_G48_SA	ABS	1.0.0
29	ABS_C16_G49_LGA	ABS	1.0.0
30	ABS_C16_G49_SA	ABS	1.0.0
31	ABS_C16_G50_LGA	ABS	1.0.0
32	ABS_C16_G50_SA	ABS	1.0.0
33	ABS_C16_G51_LGA	ABS	1.0.0
34	ABS_C16_G51_SA	ABS	1.0.0
35	ABS_C16_G52_LGA	ABS	1.0.0
36	ABS_C16_G52_SA	ABS	1.0.0
37	ABS_C16_G53_LGA	ABS	1.0.0
38	ABS_C16_G53_SA	ABS	1.0.0
39	ABS_C16_G56_LGA	ABS	1.0.0
40	ABS_C16_G56_SA	ABS	1.0.0
41	ABS_C16_G57_LGA	ABS	1.0.0
42	ABS_C16_G57_SA	ABS	1.0.0
43	ABS_C16_G58_LGA	ABS	1.0.0
44	ABS_C16_G58_SA	ABS	1.0.0
45	ABS_C16_G59_LGA	ABS	1.0.0
46	ABS_C16_G59_SA	ABS	1.0.0
47	ABS_C16_T01_LGA	ABS	1.0.0
48	ABS_C16_T01_SA	ABS	1.0.0
49	ABS_C16_T01_TS_LGA	ABS	1.0.0
50	ABS_C16_T01_TS_SA	ABS	1.0.0
51	ABS_C16_T02_LGA	ABS	1.0.0
52	ABS_C16_T02_SA	ABS	1.0.0
53	ABS_C16_T02_TS_LGA	ABS	1.0.0
54	ABS_C16_T02_TS_SA	ABS	1.0.0
55	ABS_C16_T03_LGA	ABS	1.0.0
56	ABS_C16_T03_SA	ABS	1.0.0
57	ABS_C16_T03_TS_LGA	ABS	1.0.0
58	ABS_C16_T03_TS_SA	ABS	1.0.0
59	ABS_C16_T04_LGA	ABS	1.0.0
60	ABS_C16_T04_SA	ABS	1.0.0
61	ABS_C16_T04_TS_LGA	ABS	1.0.0
62	ABS_C16_T04_TS_SA	ABS	1.0.0
63	ABS_C16_T05_LGA	ABS	1.0.0
64	ABS_C16_T05_SA	ABS	1.0.0
65	ABS_C16_T06_LGA	ABS	1.0.0
66	ABS_C16_T06_SA	ABS	1.0.0
67	ABS_C16_T07_LGA	ABS	1.0.0
68	ABS_C16_T07_SA	ABS	1.0.0
69	ABS_C16_T08_LGA	ABS	1.0.0
70	ABS_C16_T08_SA	ABS	1.0.0
71	ABS_C16_T08_TS_LGA	ABS	1.0.0
72	ABS_C16_T08_TS_SA	ABS	1.0.0
73	ABS_C16_T09_LGA	ABS	1.0.0
74	ABS_C16_T09_SA	ABS	1.0.0
75	ABS_C16_T10_LGA	ABS	1.0.0
76	ABS_C16_T10_SA	ABS	1.0.0
77	ABS_C16_T11_LGA	ABS	1.0.0
78	ABS_C16_T11_SA	ABS	1.0.0
79	ABS_C16_T11_TS_LGA	ABS	1.0.0
80	ABS_C16_T11_TS_SA	ABS	1.0.0
81	ABS_C16_T12_LGA	ABS	1.0.0
82	ABS_C16_T12_SA	ABS	1.0.0
83	ABS_C16_T12_TS_LGA	ABS	1.0.0
84	ABS_C16_T12_TS_SA	ABS	1.0.0
85	ABS_C16_T13_LGA	ABS	1.0.0
86	ABS_C16_T13_SA	ABS	1.0.0
87	ABS_C16_T14_LGA	ABS	1.0.0
88	ABS_C16_T14_SA	ABS	1.0.0
89	ABS_C16_T14_TS_LGA	ABS	1.0.0
90	ABS_C16_T14_TS_SA	ABS	1.0.0
91	ABS_C16_T15_LGA	ABS	1.0.0
92	ABS_C16_T15_SA	ABS	1.0.0
93	ABS_C16_T15_TS_LGA	ABS	1.0.0
94	ABS_C16_T15_TS_SA	ABS	1.0.0
95	ABS_C16_T16_LGA	ABS	1.0.0
96	ABS_C16_T16_SA	ABS	1.0.0
97	ABS_C16_T16_TS_LGA	ABS	1.0.0
98	ABS_C16_T16_TS_SA	ABS	1.0.0
99	ABS_C16_T17_LGA	ABS	1.0.0
100	ABS_C16_T17_SA	ABS	1.0.0
101	ABS_C16_T17_TS_LGA	ABS	1.0.0
102	ABS_C16_T17_TS_SA	ABS	1.0.0
103	ABS_C16_T18_LGA	ABS	1.0.0
104	ABS_C16_T18_SA	ABS	1.0.0
105	ABS_C16_T18_TS_LGA	ABS	1.0.0
106	ABS_C16_T18_TS_SA	ABS	1.0.0
107	ABS_C16_T19_LGA	ABS	1.0.0
108	ABS_C16_T19_SA	ABS	1.0.0
109	ABS_C16_T20_LGA	ABS	1.0.0
110	ABS_C16_T20_SA	ABS	1.0.0
111	ABS_C16_T20_TS_LGA	ABS	1.0.0
112	ABS_C16_T20_TS_SA	ABS	1.0.0
113	ABS_C16_T21_LGA	ABS	1.0.0
114	ABS_C16_T21_SA	ABS	1.0.0
115	ABS_C16_T22_LGA	ABS	1.0.0
116	ABS_C16_T22_SA	ABS	1.0.0
117	ABS_C16_T22_TS_LGA	ABS	1.0.0
118	ABS_C16_T22_TS_SA	ABS	1.0.0
119	ABS_C16_T23_LGA	ABS	1.0.0
120	ABS_C16_T23_SA	ABS	1.0.0
121	ABS_C16_T23_TS_LGA	ABS	1.0.0
122	ABS_C16_T23_TS_SA	ABS	1.0.0
123	ABS_C16_T24_LGA	ABS	1.0.0
124	ABS_C16_T24_SA	ABS	1.0.0
125	ABS_C16_T24_TS_LGA	ABS	1.0.0
126	ABS_C16_T24_TS_SA	ABS	1.0.0
127	ABS_C16_T25_LGA	ABS	1.0.0
128	ABS_C16_T25_SA	ABS	1.0.0
129	ABS_C16_T25_TS_LGA	ABS	1.0.0
130	ABS_C16_T25_TS_SA	ABS	1.0.0
131	ABS_C16_T26_LGA	ABS	1.0.0
132	ABS_C16_T26_SA	ABS	1.0.0
133	ABS_C16_T26_TS_LGA	ABS	1.0.0
134	ABS_C16_T26_TS_SA	ABS	1.0.0
135	ABS_C16_T27_LGA	ABS	1.0.0
136	ABS_C16_T27_SA	ABS	1.0.0
137	ABS_C16_T27_TS_LGA	ABS	1.0.0
138	ABS_C16_T27_TS_SA	ABS	1.0.0
139	ABS_C16_T28_LGA	ABS	1.0.0
140	ABS_C16_T28_SA	ABS	1.0.0
141	ABS_C16_T28_TS_LGA	ABS	1.0.0
142	ABS_C16_T28_TS_SA	ABS	1.0.0
143	ABS_C16_T29_TS_LGA	ABS	1.0.0
144	ABS_C16_T29_TS_SA	ABS	1.0.0
145	ABS_C16_T31_TS_LGA	ABS	1.0.0
146	ABS_C16_T31_TS_SA	ABS	1.0.0
147	ABS_C16_T32_TS_LGA	ABS	1.0.0
148	ABS_C16_T32_TS_SA	ABS	1.0.0
149	ABS_C16_T33_TS_LGA	ABS	1.0.0
150	ABS_C16_T33_TS_SA	ABS	1.0.0
151	ABS_C16_T34_TS_LGA	ABS	1.0.0
152	ABS_C16_T34_TS_SA	ABS	1.0.0
153	ABS_C16_T35_TS_LGA	ABS	1.0.0
154	ABS_C16_T35_TS_SA	ABS	1.0.0
155	ABS_CENSUS2011_B01	ABS	1.0.0
156	ABS_CENSUS2011_B01_LGA	ABS	1.0.0
157	ABS_CENSUS2011_B01_SA1_SA	ABS	1.0.0
158	ABS_CENSUS2011_B02	ABS	1.0.0
159	ABS_CENSUS2011_B02_LGA	ABS	1.0.0
160	ABS_CENSUS2011_B02_SA1_SA	ABS	1.0.0
161	ABS_CENSUS2011_B03	ABS	1.0.0
162	ABS_CENSUS2011_B03_LGA	ABS	1.0.0
163	ABS_CENSUS2011_B03_SA1_SA	ABS	1.0.0
164	ABS_CENSUS2011_B04	ABS	1.0.0
165	ABS_CENSUS2011_B04_LGA	ABS	1.0.0
166	ABS_CENSUS2011_B04_SA1_SA	ABS	1.0.0
167	ABS_CENSUS2011_B05	ABS	1.0.0
168	ABS_CENSUS2011_B05_LGA	ABS	1.0.0
169	ABS_CENSUS2011_B05_SA1_SA	ABS	1.0.0
170	ABS_CENSUS2011_B06	ABS	1.0.0
171	ABS_CENSUS2011_B06_LGA	ABS	1.0.0
172	ABS_CENSUS2011_B06_SA1_SA	ABS	1.0.0
173	ABS_CENSUS2011_B07	ABS	1.0.0
174	ABS_CENSUS2011_B07_LGA	ABS	1.0.0
175	ABS_CENSUS2011_B07_SA1_SA	ABS	1.0.0
176	ABS_CENSUS2011_B08	ABS	1.0.0
177	ABS_CENSUS2011_B08_LGA	ABS	1.0.0
178	ABS_CENSUS2011_B08_SA1_SA	ABS	1.0.0
179	ABS_CENSUS2011_B09	ABS	1.0.0
180	ABS_CENSUS2011_B09_LGA	ABS	1.0.0
181	ABS_CENSUS2011_B09_SA1_SA	ABS	1.0.0
182	ABS_CENSUS2011_B10	ABS	1.0.0
183	ABS_CENSUS2011_B10_LGA	ABS	1.0.0
184	ABS_CENSUS2011_B10_SA1_SA	ABS	1.0.0
185	ABS_CENSUS2011_B11	ABS	1.0.0
186	ABS_CENSUS2011_B11_LGA	ABS	1.0.0
187	ABS_CENSUS2011_B11_SA1_SA	ABS	1.0.0
188	ABS_CENSUS2011_B12	ABS	1.0.0
189	ABS_CENSUS2011_B12_LGA	ABS	1.0.0
190	ABS_CENSUS2011_B12_SA1_SA	ABS	1.0.0
191	ABS_CENSUS2011_B13	ABS	1.0.0
192	ABS_CENSUS2011_B13_LGA	ABS	1.0.0
193	ABS_CENSUS2011_B13_SA1_SA	ABS	1.0.0
194	ABS_CENSUS2011_B14	ABS	1.0.0
195	ABS_CENSUS2011_B14_LGA	ABS	1.0.0
196	ABS_CENSUS2011_B14_SA1_SA	ABS	1.0.0
197	ABS_CENSUS2011_B15	ABS	1.0.0
198	ABS_CENSUS2011_B15_LGA	ABS	1.0.0
199	ABS_CENSUS2011_B15_SA1_SA	ABS	1.0.0
200	ABS_CENSUS2011_B16	ABS	1.0.0
201	ABS_CENSUS2011_B16_LGA	ABS	1.0.0
202	ABS_CENSUS2011_B16_SA1_SA	ABS	1.0.0
203	ABS_CENSUS2011_B17	ABS	1.0.0
204	ABS_CENSUS2011_B17_LGA	ABS	1.0.0
205	ABS_CENSUS2011_B17_SA1_SA	ABS	1.0.0
206	ABS_CENSUS2011_B18	ABS	1.0.0
207	ABS_CENSUS2011_B18_LGA	ABS	1.0.0
208	ABS_CENSUS2011_B18_SA1_SA	ABS	1.0.0
209	ABS_CENSUS2011_B19	ABS	1.0.0
210	ABS_CENSUS2011_B19_LGA	ABS	1.0.0
211	ABS_CENSUS2011_B19_SA1_SA	ABS	1.0.0
212	ABS_CENSUS2011_B20	ABS	1.0.0
213	ABS_CENSUS2011_B20_LGA	ABS	1.0.0
214	ABS_CENSUS2011_B20_SA1_SA	ABS	1.0.0
215	ABS_CENSUS2011_B21	ABS	1.0.0
216	ABS_CENSUS2011_B21_LGA	ABS	1.0.0
217	ABS_CENSUS2011_B21_SA1_SA	ABS	1.0.0
218	ABS_CENSUS2011_B22	ABS	1.0.0
219	ABS_CENSUS2011_B22_LGA	ABS	1.0.0
220	ABS_CENSUS2011_B22_SA1_SA	ABS	1.0.0
221	ABS_CENSUS2011_B23	ABS	1.0.0
222	ABS_CENSUS2011_B23_LGA	ABS	1.0.0
223	ABS_CENSUS2011_B23_SA1_SA	ABS	1.0.0
224	ABS_CENSUS2011_B24	ABS	1.0.0
225	ABS_CENSUS2011_B24_LGA	ABS	1.0.0
226	ABS_CENSUS2011_B24_SA1_SA	ABS	1.0.0
227	ABS_CENSUS2011_B25	ABS	1.0.0
228	ABS_CENSUS2011_B25_LGA	ABS	1.0.0
229	ABS_CENSUS2011_B25_SA1_SA	ABS	1.0.0
230	ABS_CENSUS2011_B26	ABS	1.0.0
231	ABS_CENSUS2011_B26_LGA	ABS	1.0.0
232	ABS_CENSUS2011_B26_SA1_SA	ABS	1.0.0
233	ABS_CENSUS2011_B27	ABS	1.0.0
234	ABS_CENSUS2011_B27_LGA	ABS	1.0.0
235	ABS_CENSUS2011_B27_SA1_SA	ABS	1.0.0
236	ABS_CENSUS2011_B28	ABS	1.0.0
237	ABS_CENSUS2011_B28_LGA	ABS	1.0.0
238	ABS_CENSUS2011_B28_SA1_SA	ABS	1.0.0
239	ABS_CENSUS2011_B29	ABS	1.0.0
240	ABS_CENSUS2011_B29_LGA	ABS	1.0.0
241	ABS_CENSUS2011_B29_SA1_SA	ABS	1.0.0
242	ABS_CENSUS2011_B30	ABS	1.0.0
243	ABS_CENSUS2011_B30_LGA	ABS	1.0.0
244	ABS_CENSUS2011_B30_SA1_SA	ABS	1.0.0
245	ABS_CENSUS2011_B31	ABS	1.0.0
246	ABS_CENSUS2011_B31_LGA	ABS	1.0.0
247	ABS_CENSUS2011_B31_SA1_SA	ABS	1.0.0
248	ABS_CENSUS2011_B32	ABS	1.0.0
249	ABS_CENSUS2011_B32_LGA	ABS	1.0.0
250	ABS_CENSUS2011_B32_SA1_SA	ABS	1.0.0
251	ABS_CENSUS2011_B33	ABS	1.0.0
252	ABS_CENSUS2011_B33_LGA	ABS	1.0.0
253	ABS_CENSUS2011_B33_SA1_SA	ABS	1.0.0
254	ABS_CENSUS2011_B34	ABS	1.0.0
255	ABS_CENSUS2011_B34_LGA	ABS	1.0.0
256	ABS_CENSUS2011_B34_SA1_SA	ABS	1.0.0
257	ABS_CENSUS2011_B35	ABS	1.0.0
258	ABS_CENSUS2011_B35_LGA	ABS	1.0.0
259	ABS_CENSUS2011_B35_SA1_SA	ABS	1.0.0
260	ABS_CENSUS2011_B36	ABS	1.0.0
261	ABS_CENSUS2011_B36_LGA	ABS	1.0.0
262	ABS_CENSUS2011_B36_SA1_SA	ABS	1.0.0
263	ABS_CENSUS2011_B37	ABS	1.0.0
264	ABS_CENSUS2011_B37_LGA	ABS	1.0.0
265	ABS_CENSUS2011_B37_SA1_SA	ABS	1.0.0
266	ABS_CENSUS2011_B38	ABS	1.0.0
267	ABS_CENSUS2011_B38_LGA	ABS	1.0.0
268	ABS_CENSUS2011_B38_SA1_SA	ABS	1.0.0
